"article_id","keyword_id","keyword_name","article_title","article_body","pubdatetime"
"42713005","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","Šiauliečiai pagerbė Sausio 13-osios kovotojus už laisvę","Sausio 13-ąją šiauliečiai prisiminė ir pagerbė kovotojus už laisvę. Šią dieną jau nuo ankstaus ryto mieste vyko įvairios iniciatyvos, o vakarą užbaigė Laisvės gynėjų dienos renginys ir atminimo laužai, kurie sutraukė svarbią dieną Lietuvai norėjusius paminėti šiauliečius ir miesto svečius.<br /> Rengėja – Šiaulių miesto savivaldybė, organizatorius – Šiaulių kultūros centras.<br /> Šiauliuose pagrindinis Laisvės dienos minėjimo reginys prasidėjo iš karto po šv. Mišių. Skvere prie Šiaulių miesto savivaldybės Šiaulių kultūros centras miestiečiams suorganizavo šventinį Laisvės dienos minėjimą bei viso renginio metu degančiais atminimo laužais įprasmino sausio 13-ąją prie laužų budėjusius kovotojus, o skvero akcentu tapo meninė instaliacija papuošta valstybinės vėliavos spalvomis.<br /> Renginio pradžioje buvo giedama tautiška giesmė, kurią atliko Šiaulių universitetinės gimnazijos mišrus choras „Poco“ (vad. R. Stoškuvienė), studija „Čiūto“ (vad. R. Stoškuvienė) ir grupė „Ekstra“ (vad. K. Stoškus). Iškilmingą ceremoniją tęsė Lietuvos kariuomenės Krašto apsaugos savanorių pajėgų Prisikėlimo apygardos 6-osios rinktinės iššautos trys salvės. Pirmoji salvė buvo skirta kovojusiems už laisvę ir nepriklausomybę, antroji – Lietuvos žmonių gerovei bei trečioji – Lietuvos valstybės stiprinimui ir klestėjimui. Iš karto po salvių buvo garsiai perskaitytos visų sausio 13 d. žuvusiųjų Lietuvos piliečių pavardės, jie pagerbti tylos minute.<br /> Atmintiną diena, skirtą prisiminti tautiečių vienybę, tikėjimą ir drąsą, prisiminimais dalijosi parlamento gynėjas Gintautas Lukošaitis, kuris prieš 31-erius metus, dar būdamas jaunuolis, vedamas drąsos išdrįso stoti ginti tėvynę bei Šiaulių skautų tunto narys, Pažinimo licėjaus istorijos mokytojas Sergėjus Staponkus.<br /> Viso renginio metu degė atminimo laužai, kurie priminė, kaip sausio 13-osios naktį ir keletą dienų po įvykių prie laužų šildėsi mūsų tautiečiai kovoję už laisvę. Šventinę dieną užbaigė nuoširdus ir daugybę emocijų padovanojęs koncertas, kuriame muzikinę programą dovanojo Šiaulių universitetinės gimnazijos mišrus choras „Poco“ (vad. R. Stoškuvienė), studija „Čiūto“ (vad. R. Stoškuvienė), grupė „Ekstra“ (vad. K. Stoškus), „Kitavos“ lyderė Rasa Stoškuvienė ir „Nauja karta“: Agnė Michalenkovaitė, Evaldas Vaikasas, Gabija Lukrecija Petrauskaitė, Gerda Rumšienė, Arnas Grušas. „Nauja karta“ atliko dainą „Broli, neverk“, kurios žodžiais buvo pasakojami sausio 13 dienos išgyvenimai ir prisiminimai.","2022-01-13 21:24:00"
"42712668","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","Pagerbė Sausio 13-osios aukas − žuvusius kėdainiečius (FOTOGALERIJA)","Dimitrijus KUPRIJANOVAS<br /> Ketvirtadienio vakarą Kėdainių miesto Kauno gatvės kapinėse pagerbtos Sausio 13-osios aukos – žuvusieji kėdainiečiai Alvydas Kanapinskas ir Vytautas Koncevičius, prisiminti sausio 13-osios įvykiai.<br /> Žuvusiesiems pagarbą atidavė Kėdainių rajono savivaldybės meras Valentinas Tamulis, mero pavaduotojas Paulius Aukštikalnis, administracijos direktorius Arūnas Kacevičius.<br /> Ceremonijoje dalyvavo Seimo nariai Viktoras Fiodorovas ir Tomas Bičiūnas, Kėdainių rajono savivaldybės tarybos nariai, Lietuvos kariuomenės krašto apsaugos savanorių pajėgų kariai, įvairių organizacijų atstovai ir pavieniai kėdainiečiai.<br /> Susirinkusiems kalbėjo ir bendrai maldai kvietė Kėdainių Šv. kankinio Jurgio parapijos klebonas Artūras Stanevičius.<br /> Vėliau dalis žmonių patraukė į Didžiosios Rinkos aikštę, kur vyko meninė-pilietinė akcija „Už laisvą ir šviesią Lietuvą“. Visus subūrė rimties ir bendrystės laikas „Esu ten, kur turiu būti“.<br /> Aldo Surkevičiaus nuotr.","2022-01-13 20:06:30"
"42711875","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","VI fortas: Sausio 13-osios laužo liepsnos fone – šaulių priesaika","Ketvirtadienio vakarą Sausio 13-osios laužas liepsnojo Kauno tvirtovės VI forte.<br /> Čia vyko renginys „Laisvės liepsna“, skirtas paminėti 31-osioms Laisvės gynėjų dienos metinėms paminėti.<br /> Renginio programoje – 1991 m. sausio 13-osios liudininko prisiminimai, folkloro ansamblio „Kupolė“ dainos, Lietuvos šaulių sąjungos Vytauto Didžiojo 2-osios rinktinės šaulių priesaika ir jaunųjų šaulių pasižadėjimas tarnauti Tėvynei.<br /> Susirinkusiesiems tai buvo ir proga pasidairyti po logistikos aikštelę, kurioje eksploatuojama karinė technika. Pasirūpinta ir šiltomis vaišėmis – skania arbata.","2022-01-13 19:23:00"
"42710857","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","Proginiai bėgimai, žygiai į kalnus ir maudynės lediniame ežere: kaip Sausio 13-ąją mini užsienio lietuviai?","Ketvirtadienį, kai Lietuvoje minima Laisvės gynėjų diena, to padaryti nepamiršo ir užsienyje esantys lietuviai. Vieni rinkosi į bėgimą, kiti degė žvakutes, o tie, kuriems pandemija sutrukdė susirinkti gyvai, šią datą pažymėjo virtualioje erdvėje.<br /> Ne vienoje šalyje užsienio lietuviai rinkosi minėti Sausio 13-ąją bėgdami. Bėgimai buvo organizuojami tiek Ispanijoje, tiek Jungtinėje Karalystėje (JK). Triondelago (Norvegija) lietuvių bendruomenė „Baltai“ jungėsi prie bėgimo „Gyvybės ir mirties keliu“.<br /> Šią dieną taip pat aktyviai minėjo ir Ispanijos, Graikijos, JK lituanistinės mokyklėlės, primindamos vaikams, kodėl ši data yra svarbi.<br /> Praėjusių metų Sausio 13-osios minėjimai JK / JK lietuvių bendruomenės nuotr.<br /> Kai kuriems tautiečiams suplanuotiems renginiams koją pakišo prasti orai. Norvegijos lietuvių bendruomenės pirmininkė Violeta Dobrovolskienė sakė, kad ketvirtadienį buvo planuojamas ir proginis slidinėjimas, tačiau dėl audros jis nukeltas į savaitgalį.<br /> Tradiciškai paminėti šią dieną orai sutrukdė ir Islandijoje. Šios šalies lietuvių bendruomenės pirmininkė Neringa Eidukienė pasakojo, kad, deja, teko atsisakyti įprasto ėjimo.<br /> „Paprastai mes, Islandijos lietuviai, einame 13 km trasa, jos pabaigoje uždegame šaltąsias liepsneles, tačiau šiais metais mums nepavyks to padaryti dėl labai prasto oro. Taigi, tokio minėjimo šį kartą nebus, bet apie tai kalbėsime savo FB grupėje, paraginsime tautiečius uždegti žvakutes savo namuose“, – sakė ji.<br /> Praėjusių metų Sausio 13-osios minėjimas Islandijoje / Islandijos lietuvių bendruomenės nuotr.<br /> O štai Graikijos lietuvių bendruomenei numatytą akciją teko atšaukti dėl sparčiai plintančios COVID-19 ligos omikron atmainos.<br /> „Mes buvome sugalvoję Neužmirštuolių sodinimo akciją Laisvės parkelyje Atėnuose, bėgimą „Gyvybės ir mirties keliu“, filmo „Šuolis“ gyvą ir virtualų žiūrėjimą. Panašios akcijos turėjo suburti lietuvius ir kituose Graikijos regionuose. Dėl omikron atmainos plitimo negavome iš savivaldybės leidimo organizuoti akcijų viešose erdvėse, tad teko programos atsisakyti“, – kalbėjo Graikijos bendruomenės pirmininkė Viktorija Gribinaitė-Naki.<br /> Virtuali filmo „Šuolis“ peržiūra vis dėlto surengta, o prie jos prisijungti pakviesti ir Kipre gyvenantys tautiečiai. Taip pat bendruomenė ragino lietuvius pavieniui bėgti minint šią dieną visoje Graikijoje.<br /> Čikagoje – bėgimas ir ledinės maudynės<br /> Čikagos lietuviai Sausio 13-ąją paminėjo jau iš anksto – sekmadienį surengtas bėgimas Mičigano ežero pakrantėje.<br /> Generalinis konsulatas Čikagoje pranešė, kad lietuviška atributika pasipuošę Čikagos lietuviai sugiedojo Tautišką giesmę ir pagerbė Sausio 13-osios įvykių aukas tylos minute. Žodį tarė Šaulių sąjungos, Čikagos bėgikų klubo, JAV lietuvių bendruomenės atstovai, dalyvavo skautų jaunimas.<br /> Minėjimas Čikagoje / Generalinio konsulato Čikagoje „Facebook“ nuotr.<br /> Po 9 km bėgimo vyko žiemiškos maudynės Mičigano ežere – į ledinį vandenį drąsiai žengė ištvermingiausieji bėgikai ir bėgikės, pasipuošę lietuviška atributika su šūkiais „Už Lietuvą!“. Prie bėgimo šiemet prijungė JAV lietuvių bendruomenė ir specialiai šiai progai įsteigtais prizais apdovanojo maudynių dalyvius. Prie finišo šauliai ir skautai vaišino kareiviška koše ir karštais gėrimais.<br /> Kanadoje – žygiai ir bėgimai, prisijungė ir kitų šalių atstovų<br /> Dėl pandeminės situacijos jau antri metai Sausio 13-oji Kanadoje yra minima čia esantiems lietuviams jungiantis prie virtualių ir atvirose erdvėse įgyvendinamų pilietinių akcijų. Ir šiais metais tautiečiai pakviesti tiek individualiai, tiek šeimos rate ar mažose grupėse, laikydamiesi rekomenduojamų saugumo priemonių, jungtis prie pilietinių iniciatyvų – pagarbos bėgimo ar ėjimo „Gyvybės ir mirties keliu“ ir „Neužmirštuolių pievelės“ sodinimo.<br /> LR ambasada Kanadoje sausio 8 dieną pakvietė lietuvius ir Lietuvos draugus į Otavoje rengiamą pagarbos bėgimą „Gyvybės ir mirties keliu“, jame dalyvavo daugiau nei dvidešimt bėgikų, jie įveikė simbolinę 9 kilometrų distanciją.<br /> Susirinkusius bėgikus pasveikino LR ambasadorius Kanadoje Darius Skusevičius ir Kanados konservatorių partijos pirmininkas, opozicijos lyderis Erinas O’Toole. Tarp bėgusiųjų buvo ir kitų oficialių Kanados institucijų ir organizacijų, o taip pat ir lietuvių ir latvių bendruomenių Otavoje narių, JAV, Lenkijos, Švedijos, Europos Sąjungos delegacijų atstovų.<br /> Kanados lietuvių minėjimas / Kanados lietuvių bendruomenės nuotr.<br /> Toronte neužmirštuolių puokštėmis nešinos Kanados lietuvių jaunimo sąjungos atstovės, prisijungdamos prie pagarbos ėjimo, nuėjo 9 km. Pagarbos ir atminimo ėjimą dalyvės pradėjo Vakarų Toronte (Roncesvalles) esančiame Lietuvos parke, pakeliui jos sustojo prie istoriškai ir šiandienos lietuvių bendruomenėms reikšmingų vietų, o ėjimą baigė lietuvių Prisikėlimo parapijos kieme (Etobicoke), kur gretimai yra įsikūrę lietuvių slaugos namai ir Prisikėlimo kredito kooperatyvas.<br /> Toronte ir Vasagoje (Wasaga Beach) neužmirštuolių pievelės pražydo privačiuose namuose ir kiemuose. Sausio 13-osios žuvusieji buvo prisiminti ir pagerbti Vasagos Gerojo Ganytojo Misijos bažnyčioje, čia vietos lietuviai po Sausio 13-ajai atminti aukotų mišių laisvės gynėjus pagerbė tylos minute prie Sausio įvykių aukoms atminti paruošto stendo. Šia intencija mišios buvo laikomos ir Toronto Prisikėlimo, o taip pat ir Londono Šiluvos Švč. Mergelės Marijos lietuvių parapijų bažnyčiose.<br /> Tą patį savaitgalį vakarinėje Kanados pakrantėje Britų Kolumbijos provincijos lietuvių Žygeivių grupė surengė tautiečių žygį į Šiaurės Vankuveryje esančio Seymouro kalno Pump Peak viršūnę, rašoma bendruomenės pranešime. Žygeiviai su sniegbačiais nuėjo daugiau nei 10 km ir kalno viršūnėje iškėlė Lietuvos valstybės istorinę vėliavą.<br /> Sausio 13-osios rytą visi Kanados lietuviai sukviesti prisijungti prie pilietinės akcijos „Atmintis gyva, nes liudija“ ir 8 val. vietos laiku dešimčiai minučių languose uždegti vienybės, pergalės ir atminties žvakeles.","2022-01-13 18:15:00"
"42710407","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","Penkiems laisvės gynėjams skirtas Sausio 13-osios atminimo medalis","Ketvirtadienį minint Laisvės gynėjų dieną prezidentas Gitanas Nausėda Sausio 13-osios atminimo medaliu apdovanojo penkis asmenis.<br /> Gitanas Nausėda<br /> Gediminas Antanaitis, Romualdas Janušauskas, Vytas Kavaliauskas, Robertas Petkevičius ir Gintaras Vasiliūnas apdovanoti už tai, kad 1991 metais sausio–rugsėjo mėnesiais aktyviai gynė Lietuvos laisvę ir nepriklausomybę, saugojo visuomenės rimtį ir žmonių sveikatą.<br /> Medaliai bus įteikti vasario 16 dieną.<br /> Sausio 13-oji Lietuvoje minima kaip Laisvės gynėjų diena, pagerbiant žuvusiuosius 1991 metų sausio 13 dieną per sovietų kariuomenės agresiją Vilniuje.<br /> Tuomet Sovietų Sąjungos kariniams daliniams šturmuojant Vilniaus televizijos bokštą bei Radijo ir televizijos komiteto pastatą žuvo 14 žmonių, apie tūkstantis buvo sužeista.<br /> Sovietai karine jėga mėgino nuversti teisėtą Lietuvos valdžią, 1990-ųjų kovo 11 dieną paskelbusią šalies nepriklausomybę nuo Sovietų Sąjungos.<br /> BNS","2022-01-13 17:44:00"
"42710279","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","Prezidentas apie šūkaujančią minią per Sausio 13-iosios renginį: žuvusieji to nenusipelnė","Prezidentas Gitanas Nausėda ketvirtadienį pareiškė, kad prie Seimo susirinkę ir per Sausio 13-osios renginį triukšmavę žmonės nukreipė dėmesį nuo tų, kam šis minėjimas buvo skirtas.<br /> „Politikai privalo būti susitaikę su bet kokia vieša reakcija į jų sprendimus, tačiau man labai gaila, kad dėmesys, skirtas pagerbti tiems, kurie už mūsų laisvę sumokėjo savo gyvybių, ilgų metų kalėjimuose ar tremtyje kainą, buvo nukreiptas kitiems tikslams“, – šalies vadovo poziciją BNS perdavė jo atstovas Ridas Jasiulionis.<br /> „Pagarba turi būti ta stiprybės ašis, kuri mus jungia, o ne skiria. Pabandykime įsivaizduoti, kaip šiandien būtų jautęsi žuvusieji prie TV bokšto. Jie šito nenusipelnė“, – pridūrė jis.<br /> Kiek anksčiau R. Jasiulionis BNS buvo informavęs, jog minios elgesio per minėjimą Prezidentūra nekomentuos.<br /> Nepriklausomybės aikštės prieigose per Laisvės gynėjų dienos minėjimą buvo susirinkę apie 2,5 tūkst. žmonių. Tarp jų – ir protestuotojai, minėjimo metu nušvilpę Seimo pirmininkę Viktoriją Čmilytę-Nielsen, premjerę Ingridą Šimonytę. Kalbant prezidentui G. Nausėdai protestuotojai elgėsi ramiau.<br /> Tiek premjerė, tiek Seimo pirmininkė žurnalistams sakė, kad per renginį triukšmavę žmonės pademonstravo nepagarbą ir kalbėtojams, ir žuvusiųjų artimiesiems.<br /> Savo ruožtu pirmasis buvęs faktinis Lietuvos vadovas Vytautas Landsbergis susirinkusiuosius į protesto akciją prieš valdžią prilygino prosovietiniam judėjimui „Jedinstvo“ ir „fašistams“.<br /> Šalia Nacionalinės Martyno Mažvydo bibliotekos leidimą ilgalaikiam protestui ketvirtadienį buvo gavęs Lietuvos šeimų sąjūdis.<br /> Dalis žmonių po minėjimo ėmėsi protestuoti „prieš privalomą testavimą darbuotojų lėšomis, galimybių pasą“, taip pat reikalavo atstatydinti Vyriausybę.<br /> Sausio 13-oji Lietuvoje minima kaip Laisvės gynėjų diena, pagerbiant žuvusiuosius 1991 metų sausio 13 dieną per sovietų kariuomenės agresiją Vilniuje. Sovietai tuomet karine jėga mėgino nuversti teisėtą Lietuvos valdžią, 1990-ųjų kovo 11 dieną paskelbusią šalies nepriklausomybę nuo SSRS.<br /> Nors sovietų kariams pavyko užimti Televizijos bokštą bei Lietuvos radijo ir televizijos pastatą, jie neišdrįso pulti tūkstančių žmonių saugomo tuometinės Aukščiausiosios Tarybos-Atkuriamojo Seimo pastato.","2022-01-13 17:30:00"
"42710263","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","Prezidentas pagaliau prabilo: žuvusieji to nenusipelnė","Prezidentas Gitanas Nausėda ketvirtadienį pareiškė, kad prie Seimo susirinkę ir per Sausio 13-osios renginį triukšmavę žmonės nukreipė dėmesį nuo tų, kam šis minėjimas buvo skirtas.<br /> „Politikai privalo būti susitaikę su bet kokia vieša reakcija į jų sprendimus, tačiau man labai gaila, kad dėmesys, skirtas pagerbti tiems, kurie už mūsų laisvę sumokėjo savo gyvybių, ilgų metų kalėjimuose ar tremtyje kainą, buvo nukreiptas kitiems tikslams“, – šalies vadovo poziciją BNS perdavė jo atstovas Ridas Jasiulionis.<br /> „Pagarba turi būti ta stiprybės ašis, kuri mus jungia, o ne skiria. Pabandykime įsivaizduoti, kaip šiandien būtų jautęsi žuvusieji prie TV bokšto. Jie šito nenusipelnė“, – pridūrė jis.<br /> Kiek anksčiau R. Jasiulionis BNS buvo informavęs, jog minios elgesio per minėjimą Prezidentūra nekomentuos.<br /> Nepriklausomybės aikštės prieigose per Laisvės gynėjų dienos minėjimą buvo susirinkę apie 2,5 tūkst. žmonių. Tarp jų – ir protestuotojai, minėjimo metu nušvilpę Seimo pirmininkę Viktoriją Čmilytę-Nielsen, premjerę Ingridą Šimonytę. Kalbant prezidentui G. Nausėdai protestuotojai elgėsi ramiau.<br /> Tiek premjerė, tiek Seimo pirmininkė žurnalistams sakė, kad per renginį triukšmavę žmonės pademonstravo nepagarbą ir kalbėtojams, ir žuvusiųjų artimiesiems.<br /> Savo ruožtu pirmasis buvęs faktinis Lietuvos vadovas Vytautas Landsbergis susirinkusiuosius į protesto akciją prieš valdžią prilygino prosovietiniam judėjimui „Jedinstvo“ ir „fašistams“.<br /> Šalia Nacionalinės Martyno Mažvydo bibliotekos leidimą ilgalaikiam protestui ketvirtadienį buvo gavęs Lietuvos šeimų sąjūdis.<br /> Dalis žmonių po minėjimo ėmėsi protestuoti „prieš privalomą testavimą darbuotojų lėšomis, galimybių pasą“, taip pat reikalavo atstatydinti Vyriausybę.<br /> Sausio 13-oji Lietuvoje minima kaip Laisvės gynėjų diena, pagerbiant žuvusiuosius 1991 metų sausio 13 dieną per sovietų kariuomenės agresiją Vilniuje. Sovietai tuomet karine jėga mėgino nuversti teisėtą Lietuvos valdžią, 1990-ųjų kovo 11 dieną paskelbusią šalies nepriklausomybę nuo SSRS.<br /> Nors sovietų kariams pavyko užimti Televizijos bokštą bei Lietuvos radijo ir televizijos pastatą, jie neišdrįso pulti tūkstančių žmonių saugomo tuometinės Aukščiausiosios Tarybos-Atkuriamojo Seimo pastato.<br /> Naujienų agentūros BNS informaciją atgaminti visuomenės informavimo priemonėse bei interneto tinklalapiuose be raštiško UAB BNS sutikimo draudžiama.","2022-01-13 17:28:00"
"42710265","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","Istorinis pasiekimas: Lietuvos biatlonininką nuo apdovanojimų pakylos skyrė 1,5 sek.","Biatlonininkas Vytautas Strolia pasiekė istorinį rezultatą Pasaulio taurės etape Rūpoldinge – lietuvis liko per plauką nuo prizininkų trejeto.<br /> V.Strolia 10 kilometrų sprinto lenktynėse šaudė be klaidų ir nuo lyderio prancūzo Quentino Fillono Mailleto atsiliko 33.6 sek.<br /> O štai nuo trečiosios vietos ir bronzos medalio lietuvį teskyrė 1,5 sek. – tiek buvo greitesnis baltarusis Antonas Smolskis.<br /> „Labai smagu, šiandien ryte buvo minčių, jog norėčiau pasveikinti Lietuvą savo darbais. Džiaugiuosi, kad tokią dieną pavyko pasiekti savo karjeros rezultatą“, – džiaugėsi V.Strolia, kuris yra ir Lietuvos kariuomenės savanoris.<br /> Sidabrą pelnė vokietis Benediktas Dollas, lyderiui pralaimėjęs 7,2 sek.<br /> V.Strolios rezultatas yra istorinis ne tik jam pačiam, bet ir visam Lietuvos biatlonui.<br /> Penktas į 10 km sprinto varžybų trasą iššliuožęs biatlonininkas kurį laiką netgi pirmavo. Vėliau jį aplenkė 17-tu numeriu startavęs prancūzas Quentin Fillon Maillet, tapęs rungties nugalėtoju, baltarusis Antonas Smolskis, o iš prizininkų trejeto mūsiškis iškrito praėjus pusvalandžiui po paties finišo, kada į antrą poziciją išsiveržė vokietis Benediktas Dollis.<br /> „Šiandien esu patenkintas tikrai viskuo. Emocijos jau nuslūgo, sporte emocijos trunka tik tiek, kol vyksta apdovanojimas, o jam pasibaigus galvoji: kas toliau? Džiaugiuosi, kad pagaliau yra Top-10 – visą sezoną apie tą svajojau ir tikrai žinojau, kad galiu padaryti, – iškart po gėlių ceremonijos, kurioje apdovanojami šeši stipriausi biatlonininkai, sakė V.Strolia. – Apmaudo dėl išsprūdusio podiumo tikrai nėra, turi būti žingsnis po žingsnio. Mano tikslas buvo Top-10, o dabar bus galima svajoti apie aukštesnius rezultatus.“<br /> Pagal greitį trasoje pajėgiausias Lietuvos žiemos sporto atstovas buvo 15-as, šaudymo greitį – 28-as. Įspūdingu greičiu V.Strolia sušaudė stovėdamas – penkis taikinius jis užvertė vos per 23,2 sek.<br /> „Koks jausmas dalyvauti gėlių ceremonijoje? Nereikia net sakyti – geras. Pagaliau tą pajaučiau! Svarbiausia, kad galėjau pradžiuginti mūsų federaciją, kuri dirba ir siekia rezultatų, trenerių, serviso štabą, prezidentą (federacijos – aut. past.). Be abejo ir tuos, kurie labiausiai mane palaiko – šeimą, gimines. Tikiuosi, kad visus pradžiuginau ir labiausiai dėl to esu patenkintas“, – šyptelėjo V.Strolia.<br /> Už ketvirtą vietą lietuviui atiteko 7 tūkst. eurų prizas bei 43 įskaitiniai pasaulio taurės taškai. V.Strolia tapo pirmuoju nepriklausomos Lietuvos biatlonininku, kuriam pavyko prasibrauti į geriausiųjų šešetuką: iki tol rekordinė aštuntoji pozicija priklausė Dianai Rasimovičiūtei. Tiesa, sovietmečiu planetos taurės etapą yra laimėjęs Algimantas Šalna.<br /> Sprinto varžybose Rūpoldinge dalyvavo dar trys Lietuvos biatlonininkai: Karolis Dombrovskis užėmė 69 vietą (0+2), Tomas Kaukėnas – 100-ąją (1+3), o Linas Banys – 107-ąją (1+1).<br /> 60 geriausiai pasirodžiusių biatlonininkų iškovojo teisę dalyvauti sekmadienį vyksiančiose persekiojimo varžybose: V.Strolia ten startuos ketvirtas.<br /> Bendroje planetos taurės įskaitoje pirmauja Q.Fillon Maillet (521 taškas), o V.Strolia rikiuojasi 29-as (161 tšk.).<br /> Kitas Lietuvos atletas Karolis Dombrovskis finišavo 69-oje vietoje, Tomas Kaukėnas užėmė 100-ąją poziciją.","2022-01-13 17:27:07"
"42710035","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","Prezidentas apie šūkaujančią minią per Sausio 13-iosios renginį: žuvusieji to nenusipelnė","Prezidentas Gitanas Nausėda ketvirtadienį pareiškė, kad prie Seimo susirinkę ir per Sausio 13-osios renginį triukšmavę žmonės nukreipė dėmesį nuo tų, kam šis minėjimas buvo skirtas.<br /> „Politikai privalo būti susitaikę su bet kokia vieša reakcija į jų sprendimus, tačiau man labai gaila, kad dėmesys, skirtas pagerbti tiems, kurie už mūsų laisvę sumokėjo savo gyvybių, ilgų metų kalėjimuose ar tremtyje kainą, buvo nukreiptas kitiems tikslams“, – šalies vadovo poziciją BNS perdavė jo atstovas Ridas Jasiulionis.<br /> „Pagarba turi būti ta stiprybės ašis, kuri mus jungia, o ne skiria. Pabandykime įsivaizduoti, kaip šiandien būtų jautęsi žuvusieji prie TV bokšto. Jie šito nenusipelnė“, – pridūrė jis.<br /> Nepriklausomybės aikštės prieigose per Laisvės gynėjų dienos minėjimą buvo susirinkę apie 2.500 žmonių. Tarp jų – ir protestuotojai, minėjimo metu nušvilpę Seimo pirmininkę Viktoriją Čmilytę-Nielsen, premjerę Ingridą Šimonytę. Kalbant prezidentui G. Nausėdai protestuotojai elgėsi ramiau.<br /> Šalia Nacionalinės Martyno Mažvydo bibliotekos leidimą ilgalaikiam protestui ketvirtadienį buvo gavęs Lietuvos šeimų sąjūdis.<br /> Jo sukviesti žmonės kėlė triukšmą: šaukė „Gėda“, švilpė, pūtė signalines dūdas, mušė būgnus. Rankose jie laikė valstybės vėliavas, plakatus „COVID diktatūrai – ne“, „Tauta bunda“. Jie neatsižvelgė į renginio vedėjo prašymą gerbti laisvės gynėjų atminimą.<br /> Dalis žmonių po minėjimo ėmėsi protestuoti „prieš privalomą testavimą darbuotojų lėšomis, galimybių pasą“, taip pat reikalavo atstatydinti Vyriausybę.<br /> Sausio 13-oji Lietuvoje minima kaip Laisvės gynėjų diena, pagerbiant žuvusiuosius 1991 metų sausio 13 dieną per sovietų kariuomenės agresiją Vilniuje. Sovietai tuomet karine jėga mėgino nuversti teisėtą Lietuvos valdžią, 1990-ųjų kovo 11 dieną paskelbusią šalies nepriklausomybę nuo SSRS.<br /> Nors sovietų kariams pavyko užimti Televizijos bokštą bei Lietuvos radijo ir televizijos pastatą, jie neišdrįso pulti tūkstančių žmonių saugomo tuometinės Aukščiausiosios Tarybos-Atkuriamojo Seimo pastato.<br /> Naujienų agentūros BNS informaciją atgaminti visuomenės informavimo priemonėse bei interneto tinklalapiuose be raštiško UAB ""BNS"" sutikimo draudžiama.<br /> Juditos Grigelytės (VŽ) nuotr.<br /> Juditos Grigelytės (VŽ) nuotr.","2022-01-13 17:18:00"
"42709963","337492","KAM tema: Pilietiškumas ir atsparumas propagandai [i]","Nausėda apie šūkaujančią minią per Sausio 13-iosios renginį: žuvusieji to nenusipelnė","Prezidentas Gitanas Nausėda ketvirtadienį pareiškė, kad prie Seimo susirinkę ir per Sausio 13-osios renginį triukšmavę žmonės nukreipė dėmesį nuo tų, kam šis minėjimas buvo skirtas.<br /> „Politikai privalo būti susitaikę su bet kokia vieša reakcija į jų sprendimus, tačiau man labai gaila, kad dėmesys, skirtas pagerbti tiems, kurie už mūsų laisvę sumokėjo savo gyvybių, ilgų metų kalėjimuose ar tremtyje kainą, buvo nukreiptas kitiems tikslams“, – šalies vadovo poziciją BNS perdavė jo atstovas Ridas Jasiulionis.<br /> „Pagarba turi būti ta stiprybės ašis, kuri mus jungia, o ne skiria. Pabandykime įsivaizduoti kaip šiandien būtų jautęsi žuvusieji prie TV bokšto. Jie šito nenusipelnė“, – pridūrė jis.<br /> Nepriklausomybės aikštės prieigose per Laisvės gynėjų dienos minėjimą buvo susirinkę apie 2,5 tūkst. žmonių. Tarp jų – ir protestuotojai, minėjimo metu nušvilpę Seimo pirmininkę Viktoriją Čmilytę-Nielsen, premjerę Ingridą Šimonytę. Kalbant prezidentui G. Nausėdai protestuotojai elgėsi ramiau.<br /> Šalia Nacionalinės Martyno Mažvydo bibliotekos leidimą ilgalaikiam protestui ketvirtadienį buvo gavęs Lietuvos šeimų sąjūdis.<br /> Dalis žmonių po minėjimo ėmėsi protestuoti „prieš privalomą testavimą darbuotojų lėšomis, galimybių pasą“, taip pat reikalavo atstatydinti Vyriausybę.<br /> Sausio 13-oji Lietuvoje minima kaip Laisvės gynėjų diena, pagerbiant žuvusiuosius 1991 metų sausio 13 dieną per sovietų kariuomenės agresiją Vilniuje. Sovietai tuomet karine jėga mėgino nuversti teisėtą Lietuvos valdžią, 1990-ųjų kovo 11 dieną paskelbusią šalies nepriklausomybę nuo SSRS.<br /> Nors sovietų kariams pavyko užimti Televizijos bokštą bei Lietuvos radijo ir televizijos pastatą, jie neišdrįso pulti tūkstančių žmonių saugomo tuometinės Aukščiausiosios Tarybos-Atkuriamojo Seimo pastato.<br /> BNS","2022-01-13 17:16:00"
